pid,category,eco
29696,Vegetables and fruits,0
30523,Vegetables and fruits,0
30963,Vegetables and fruits,0
31066,Vegetables and fruits,0
31944,Vegetables and fruits,0
32312,Vegetables and fruits,0
32360,Vegetables and fruits,0
32504,Vegetables and fruits,0
32662,Home,0
33089,Vegetables and fruits,0
33231,Vegetables and fruits,0
33691,Vegetables and fruits,0
33935,Vegetables and fruits,0
34529,Vegetables and fruits,0
34919,Vegetables and fruits,0
35813,Vegetables and fruits,0
36255,Vegetables and fruits,0
36676,Vegetables and fruits,0
37258,Vegetables and fruits,0
37559,Vegetables and fruits,0
37988,Vegetables and fruits,0
37994,Vegetables and fruits,0
38340,Vegetables and fruits,0
38480,Condiments,0
38505,Vegetables and fruits,0
38563,Vegetables and fruits,0
38758,Vegetables and fruits,0
38765,Bakery and bread,0
38814,Vegetables and fruits,0
38998,Vegetables and fruits,0
39031,Vegetables and fruits,0
39519,Vegetables and fruits,0
39710,Vegetables and fruits,0
39711,Vegetables and fruits,0
39811,Bakery and bread,0
39879,Vegetables and fruits,0
40184,Vegetables and fruits,0
40211,Vegetables and fruits,0
40353,Vegetables and fruits,0
40354,Vegetables and fruits,0
40380,Vegetables and fruits,0
40383,Vegetables and fruits,0
40735,Vegetables and fruits,0
40861,Vegetables and fruits,0
40995,Vegetables and fruits,0
41021,Vegetables and fruits,0
41260,Vegetables and fruits,0
41289,Vegetables and fruits,0
41530,Vegetables and fruits,0
41684,Vegetables and fruits,0
42416,Vegetables and fruits,0
42418,Vegetables and fruits,0
42653,Vegetables and fruits,0
42654,Vegetables and fruits,0
42682,Vegetables and fruits,0
42786,Vegetables and fruits,0
42949,Vegetables and fruits,0
43016,Vegetables and fruits,0
43063,Vegetables and fruits,0
43073,Frozen foods,0
43099,Vegetables and fruits,0
43100,Vegetables and fruits,0
43215,Vegetables and fruits,0
43266,Misc,0
43462,Vegetables and fruits,0
43589,Vegetables and fruits,0
43722,Vegetables and fruits,0
44284,Vegetables and fruits,0
44608,Vegetables and fruits,0
44747,Vegetables and fruits,0
44853,Vegetables and fruits,0
45751,Vegetables and fruits,0
45862,Vegetables and fruits,0
45863,Vegetables and fruits,0
45864,Vegetables and fruits,0
45953,Vegetables and fruits,0
45954,Vegetables and fruits,0
46313,Vegetables and fruits,0
46971,Vegetables and fruits,0
47075,Vegetables and fruits,0
47098,Vegetables and fruits,0
47103,Vegetables and fruits,0
47365,Vegetables and fruits,0
47446,Vegetables and fruits,0
47471,Vegetables and fruits,0
47472,Vegetables and fruits,0
47771,Vegetables and fruits,0
47930,Vegetables and fruits,0
47956,Vegetables and fruits,0
48046,Vegetables and fruits,0
48421,Vegetables and fruits,0
48706,Vegetables and fruits,0
48737,Vegetables and fruits,0
48891,Vegetables and fruits,0
48892,Vegetables and fruits,0
48908,Vegetables and fruits,0
49104,Vegetables and fruits,0
49313,Vegetables and fruits,0
49381,Vegetables and fruits,0
50464,Vegetables and fruits,0
50613,Vegetables and fruits,0
50645,Vegetables and fruits,0
50756,Vegetables and fruits,0
51094,Vegetables and fruits,0
51116,Vegetables and fruits,0
51122,Vegetables and fruits,0
51432,Vegetables and fruits,0
51455,Vegetables and fruits,0
51790,Vegetables and fruits,0
51791,Vegetables and fruits,0
52010,Vegetables and fruits,0
52151,Vegetables and fruits,0
52347,Vegetables and fruits,0
52418,Vegetables and fruits,0
52440,Vegetables and fruits,0
52887,Vegetables and fruits,0
53164,Vegetables and fruits,0
53300,Vegetables and fruits,0
53301,Vegetables and fruits,0
53584,Vegetables and fruits,0
53811,Misc,0
53831,Vegetables and fruits,0
53857,Vegetables and fruits,0
53916,Vegetables and fruits,0
53967,Vegetables and fruits,0
53968,Vegetables and fruits,0
53992,Vegetables and fruits,0
54771,Home,0
55514,Vegetables and fruits,0
55591,Vegetables and fruits,0
55826,Vegetables and fruits,0
55896,Vegetables and fruits,0
55945,Vegetables and fruits,0
55969,Vegetables and fruits,0
56010,Vegetables and fruits,0
56069,Vegetables and fruits,0
56304,Vegetables and fruits,0
56326,Vegetables and fruits,0
56511,Vegetables and fruits,0
56610,Vegetables and fruits,0
56630,Vegetables and fruits,0
56763,Vegetables and fruits,0
56891,Vegetables and fruits,0
57093,Vegetables and fruits,0
57387,Vegetables and fruits,0
57607,Vegetables and fruits,0
57745,Condiments,0
57764,Condiments,0
57859,Condiments,0
57941,Condiments,0
57952,Candy,0
58007,Candy,0
58041,Condiments,0
58065,Vegetables and fruits,0
58233,Vegetables and fruits,0
58381,Vegetables and fruits,0
58382,Vegetables and fruits,0
58407,Vegetables and fruits,0
58410,Vegetables and fruits,0
58822,Bakery and bread,0
58863,Vegetables and fruits,0
58888,Vegetables and fruits,0
58942,Vegetables and fruits,0
59045,Vegetables and fruits,0
59167,Vegetables and fruits,0
59187,Vegetables and fruits,0
59232,Vegetables and fruits,0
59252,Vegetables and fruits,0
59328,Vegetables and fruits,0
59399,Vegetables and fruits,0
59494,Vegetables and fruits,0
59543,Vegetables and fruits,0
60416,Bakery and bread,0
60432,Dairy and eggs,0
60544,Candy,0
60704,Bakery and bread,0
61903,Condiments,0
61951,Candy,0
62233,Emergency food,0
62665,Condiments,0
63002,Condiments,0
63033,Condiments,0
63077,Condiments,0
63139,Emergency food,0
63271,Emergency food,0
63553,Condiments,0
63763,Catering,0
64703,Emergency food,0
65193,Misc,0
65516,Misc,0
68592,Condiments,0
68603,Bakery and bread,0
68617,Condiments,0
68647,Condiments,0
68669,Condiments,0
68692,Condiments,0
68800,Condiments,0
68823,Bakery and bread,0
68851,Candy,0
69686,Home,0
69724,Bakery and bread,0
69938,Home,0
70086,Bakery and bread,0
70326,Leisure,0
70492,Home,0
70731,Home,0
71117,Home,0
71349,Home,0
71486,Home,0
71741,Home,0
71867,Home,0
72042,Home,0
72217,Home,0
72510,Chokolate,0
72614,Chokolate,0
72709,Chokolate,0
72960,Home,0
73078,Chokolate,0
73168,Home,0
73341,Home,0
73391,Leisure,0
73399,Leisure,0
73691,Home,0
73888,Home,0
73969,Home,0
74269,Home,0
74529,Misc,0
74646,Leisure,0
74964,Misc,0
75905,Condiments,0
75933,Condiments,0
76099,Chokolate,0
76255,Misc,0
76353,Vegetables and fruits,0
77415,Condiments,0
81553,Condiments,0
84726,Condiments,0
85352,Condiments,0
85436,Condiments,0
86788,Condiments,0
86811,Condiments,0
86846,Condiments,0
87498,Home,0
87789,Home,0
87815,Home,0
87864,Condiments,0
87958,Condiments,0
87960,Condiments,0
87976,Condiments,0
88011,Condiments,0
88077,Home,0
88092,Condiments,0
88659,Condiments,0
88710,Candy,0
88720,Condiments,0
88731,Condiments,0
88770,Condiments,0
88782,Candy,0
88816,Candy,0
88854,Condiments,0
88866,Candy,0
88885,Condiments,0
88898,Candy,0
88899,Candy,0
88902,Candy,0
88903,Candy,0
88907,Candy,0
88915,Candy,0
88918,Candy,0
88933,Condiments,0
88945,Condiments,0
88947,Candy,0
88948,Candy,0
88950,Candy,0
88951,Candy,0
88952,Candy,0
88953,Condiments,0
88958,Candy,0
88959,Candy,0
88960,Condiments,0
88961,Candy,0
88962,Condiments,0
89002,Condiments,0
89009,Condiments,0
89061,Candy,0
89063,Condiments,0
89089,Condiments,0
89099,Candy,0
89111,Condiments,0
89113,Condiments,0
89116,Condiments,0
89117,Condiments,0
89125,Condiments,0
89126,Condiments,0
89127,Condiments,0
89134,Condiments,0
89139,Condiments,0
89167,Condiments,0
89175,Condiments,0
89178,Condiments,0
89182,Condiments,0
89206,Condiments,0
89208,Condiments,0
89210,Condiments,0
89219,Condiments,0
89428,Candy,0
89433,Condiments,0
89464,Condiments,0
89497,Condiments,0
89507,Candy,0
89600,Condiments,0
89602,Condiments,0
89682,Condiments,0
89824,Condiments,0
89941,Candy,0
90452,Candy,0
90453,Candy,0
90500,Condiments,0
90561,Candy,0
90615,Condiments,0
90624,Condiments,0
90664,Condiments,0
90767,Condiments,0
90879,Candy,0
90897,Condiments,0
90964,Candy,0
93550,Condiments,0
93614,Condiments,0
93622,Condiments,0
93629,Condiments,0
93635,Condiments,0
93650,Condiments,0
93733,Condiments,0
93740,Condiments,0
93744,Condiments,0
93750,Condiments,0
93783,Condiments,0
93817,Condiments,0
93830,Condiments,0
93832,Condiments,0
93866,Condiments,0
93899,Condiments,0
93912,Condiments,0
93917,Condiments,0
93924,Condiments,0
93938,Condiments,0
93943,Condiments,0
93964,Condiments,0
93969,Condiments,0
93974,Condiments,0
93975,Condiments,0
93977,Condiments,0
93980,Condiments,0
93995,Condiments,0
94020,Condiments,0
94080,Condiments,0
94089,Condiments,0
94112,Condiments,0
94129,Condiments,0
94130,Condiments,0
94154,Condiments,0
94164,Condiments,0
94189,Condiments,0
94197,Condiments,0
94204,Condiments,0
94224,Condiments,0
94227,Condiments,0
94228,Condiments,0
94240,Condiments,0
94253,Condiments,0
94362,Condiments,0
94397,Condiments,0
94400,Condiments,0
94407,Condiments,0
94408,Condiments,0
94410,Condiments,0
94412,Condiments,0
94416,Condiments,0
94425,Condiments,0
94450,Condiments,0
94454,Condiments,0
94456,Condiments,0
94459,Condiments,0
94461,Condiments,0
94467,Condiments,0
94473,Condiments,0
94475,Condiments,0
94479,Condiments,0
94486,Condiments,0
94498,Condiments,0
94502,Condiments,0
94503,Condiments,0
94513,Condiments,0
94523,Condiments,0
94533,Condiments,0
94536,Condiments,0
94537,Condiments,0
94542,Condiments,0
94546,Condiments,0
94556,Condiments,0
94558,Condiments,0
94561,Condiments,0
94562,Condiments,0
94564,Home,0
94565,Condiments,0
94566,Condiments,0
94568,Condiments,0
94572,Condiments,0
94575,Condiments,0
94588,Condiments,0
94605,Condiments,0
94606,Condiments,0
94611,Condiments,0
94612,Condiments,0
94622,Condiments,0
94623,Condiments,0
94624,Condiments,0
94628,Condiments,0
94640,Condiments,0
94641,Condiments,0
94647,Condiments,0
94652,Condiments,0
94654,Condiments,0
94657,Condiments,0
94682,Condiments,0
94685,Condiments,0
94686,Condiments,0
94691,Condiments,0
94692,Condiments,0
94693,Condiments,0
94695,Condiments,0
94742,Condiments,0
94757,Condiments,0
94768,Condiments,0
94771,Condiments,0
94779,Condiments,0
94780,Condiments,0
94781,Condiments,0
94792,Condiments,0
94797,Condiments,0
94801,Condiments,0
94813,Condiments,0
94825,Condiments,0
94828,Condiments,0
94829,Condiments,0
94834,Condiments,0
94835,Condiments,0
94844,Condiments,0
94850,Condiments,0
94853,Condiments,0
94858,Condiments,0
94865,Condiments,0
94874,Condiments,0
94876,Condiments,0
94889,Condiments,0
94893,Condiments,0
94896,Condiments,0
94903,Condiments,0
94915,Condiments,0
94923,Condiments,0
94931,Condiments,0
94943,Condiments,0
94944,Condiments,0
94953,Condiments,0
94954,Condiments,0
94956,Condiments,0
94969,Condiments,0
94970,Condiments,0
94978,Condiments,0
94981,Condiments,0
94984,Condiments,0
94990,Condiments,0
94995,Condiments,0
94998,Condiments,0
95009,Condiments,0
95017,Condiments,0
95021,Condiments,0
95022,Condiments,0
95023,Condiments,0
95030,Condiments,0
95036,Condiments,0
95038,Condiments,0
95043,Condiments,0
95047,Condiments,0
95048,Condiments,0
95049,Condiments,0
95051,Condiments,0
95053,Condiments,0
95058,Condiments,0
95060,Condiments,0
95061,Condiments,0
95063,Condiments,0
95064,Condiments,0
95065,Condiments,0
95070,Condiments,0
